,Company,PriceRs.,Day HighRs.
0,Hindustan Aeron,5166.65,5378.00
1,Cochin Shipyard,1912.55,2030.00
2,Bharat Electronics,297.20,299.90
3,Interglobe Aviation,4256.50,4529.00
4,Rail Vikas Nigam,370.50,381.00
5,Mazagon Dock Ship,3177.05,3248.95
6,Power Finance Corp,491.65,499.40
7,Bharat Dynamics,1523.05,1658.95
8,Garden Reach Ship,1459.70,1508.00
9,Adani Enterprises,3384.95,3457.85
10,SBI,828.60,841.25
11,Biocon,319.45,331.00
12,Finolex Cables,1282.60,1363.30
13,Ashok Leyland,210.70,219.45
14,Bharti Airtel,1388.50,1397.75
